Cu,Ni,Al,r,del_r,del_EN,S,VEC
0.04,0.42,0.54,1.2960000000000003,0.04983974317750849,0.1490980885189343,6.8660818707865285,6.260000000000001
0.04,0.44,0.52,1.298,0.04995998398718723,0.14947588434259212,6.900854778687821,6.4
0.04,0.46,0.5,1.3000000000000003,0.050000000000000044,0.1496122989596777,6.921669937617403,6.540000000000001
0.04,0.48,0.48,1.302,0.04995998398718723,0.1495079930973591,6.9286002770702835,6.68
0.04,0.5,0.46,1.3040000000000003,0.04983974317750849,0.1491624617656868,6.921669937617403,6.82
0.04,0.52,0.44,1.306,0.04963869458396347,0.14857402195538752,6.900854778687821,6.960000000000001
0.04,0.54,0.42,1.3080000000000003,0.0493558507170123,0.14773977121953308,6.8660818707865285,7.1000000000000005
0.04,0.56,0.4,1.31,0.048989794855663606,0.14665551472754093,6.817227945177318,7.240000000000001
0.04,0.58,0.38,1.312,0.04853864439804643,0.14531565641733163,6.754116717408096,7.380000000000001
0.04,0.6,0.36,1.314,0.04800000000000004,0.14371304742437263,6.676514935825558,7.5200000000000005
0.04,0.62,0.34,1.3160000000000003,0.047370877129308084,0.14183878172065628,6.584126925102747,7.66
0.04,0.64,0.32,1.318,0.046647615158762444,0.13968192438536914,6.476587287656865,7.800000000000001
0.04,0.66,0.3,1.3200000000000003,0.04582575694955844,0.13722915142199188,6.3534512775921295,7.940000000000001
0.04,0.68,0.28,1.3220000000000003,0.04489988864128734,0.13446427034718175,6.214182148876677,8.080000000000002
0.04,0.7,0.26,1.324,0.04386342439892266,0.13136757590821252,6.058134463443345,8.22
0.04,0.72,0.24,1.326,0.04270831300812528,0.1279149717585865,5.884531860928256,8.36
0.04,0.74,0.22,1.3279999999999998,0.041424630354415994,0.1240767504410072,5.692437026156727,8.5
0.04,0.76,0.2,1.33,0.040000000000000036,0.11981585871661557,5.480710335838562,8.639999999999999
0.04,0.78,0.18,1.3320000000000003,0.038418745424597125,0.11508535962493224,5.2479515260683245,8.780000000000001
0.04,0.8,0.16,1.334,0.03666060555964675,0.10982458741101642,4.992414899155793,8.92
0.04,0.82,0.14,1.336,0.03469870314579498,0.10395306633284074,4.711881370352884,9.059999999999999
0.04,0.84,0.12,1.338,0.03249615361854387,0.0973603615441109,4.403456080120489,9.2
0.04,0.86,0.1,1.34,0.03000000000000003,0.08988793022425197,4.063228285151281,9.34
