Cu,Ni,Al,std
0.3,0.2,0.5,8.103455660645775
0.3,0.22,0.48,8.533897079328392
0.3,0.24,0.46,8.730676436770821
0.3,0.26,0.44,8.69619728585124
0.3,0.28,0.42,8.447194268802761
0.3,0.3,0.4,8.014616729494179
0.3,0.32,0.38,7.446369854835005
0.3,0.34,0.36,6.812631167231071
0.3,0.36,0.34,6.211811798614673
0.3,0.38,0.32,5.76840374826015
0.3,0.4,0.3,5.60269718082374
0.3,0.42,0.28,5.7653315374869765
0.3,0.44,0.26,6.192377920420788
0.3,0.46,0.24,6.7379291678634115
0.3,0.48,0.22,7.2388328461064555
0.3,0.5,0.2,7.554436820242639
0.3,0.52,0.18,7.58606370433134
0.3,0.54,0.16,7.300186465613104
0.3,0.56,0.14,6.774081610385734
0.3,0.58,0.12,6.271973187726189
0.3,0.6,0.1,6.2676779593222625
0.3,0.62,0.08,7.131531661603369
