Cu,Ni,Al,std
0.28,0.52,0.2,7.207568704204761
0.28,0.54,0.18,7.16524810364981
0.28,0.56,0.16,6.851356596527268
0.28,0.58,0.14,6.410876538069023
0.28,0.6,0.12,6.196325141353385
0.28,0.62,0.1,6.670521000028886
0.28,0.64,0.08,7.983245420623826
0.28,0.66,0.06,9.797120052212446
0.28,0.68,0.04,11.588324946353929
0.28,0.7,0.02,12.828860160501428
0.28,0.72,0.0,13.226074231845695
0.3,0.0,0.7,12.323818876307058
0.3,0.02,0.68,9.963928042527348
0.3,0.04,0.66,7.93473087373287
0.3,0.06,0.64,6.2195962981731165
0.3,0.08,0.62,5.0208868910903615
0.3,0.1,0.6,4.591675306326311
0.3,0.12,0.58,4.9380934685626725
0.3,0.14,0.56,5.7293338035713886
0.3,0.16,0.54,6.632158820418481
0.3,0.18,0.52,7.455001541105908
